Date,State,Population,Confirmed,Recovered,Deceased,Tested
Thu Mar 19 00:00:00 GMT+05:30 2020,CH,1179000,1,,,
Thu Mar 19 00:00:00 GMT+05:30 2020,CT,28724000,1,,,
Thu Mar 19 00:00:00 GMT+05:30 2020,DL,19814000,14,,,
Thu Mar 19 00:00:00 GMT+05:30 2020,GJ,67936000,2,,,
Thu Mar 19 00:00:00 GMT+05:30 2020,HP,7300000,,,,
Thu Mar 19 00:00:00 GMT+05:30 2020,HR,28672000,17,,,
Thu Mar 19 00:00:00 GMT+05:30 2020,JK,13203000,4,,,
Thu Mar 19 00:00:00 GMT+05:30 2020,KA,65798000,15,,1,
Thu Mar 19 00:00:00 GMT+05:30 2020,KL,35125000,28,3,,
Thu Mar 19 00:00:00 GMT+05:30 2020,LA,293000,8,,,
Thu Mar 19 00:00:00 GMT+05:30 2020,MH,122153000,48,,,
Thu Mar 19 00:00:00 GMT+05:30 2020,OR,43671000,2,,,
Thu Mar 19 00:00:00 GMT+05:30 2020,PB,29859000,2,,,3675493
Thu Mar 19 00:00:00 GMT+05:30 2020,PY,1504000,1,,,
Thu Mar 19 00:00:00 GMT+05:30 2020,RJ,77264000,9,,,
Thu Mar 19 00:00:00 GMT+05:30 2020,TG,37220000,16,,,
Thu Mar 19 00:00:00 GMT+05:30 2020,TN,75695000,3,,,
Thu Mar 19 00:00:00 GMT+05:30 2020,TT,1332900000,198,3,1,14175
Thu Mar 19 00:00:00 GMT+05:30 2020,UP,224979000,20,,,
Thu Mar 19 00:00:00 GMT+05:30 2020,UT,11141000,3,,,
Thu Mar 19 00:00:00 GMT+05:30 2020,WB,96906000,1,,,
Fri Mar 20 00:00:00 GMT+05:30 2020,AP,52221000,3,,,
Fri Mar 20 00:00:00 GMT+05:30 2020,CH,1179000,5,,,
Fri Mar 20 00:00:00 GMT+05:30 2020,CT,28724000,1,,,
Fri Mar 20 00:00:00 GMT+05:30 2020,DL,19814000,20,,,
Fri Mar 20 00:00:00 GMT+05:30 2020,GJ,67936000,7,,,
Fri Mar 20 00:00:00 GMT+05:30 2020,HP,7300000,2,,,
Fri Mar 20 00:00:00 GMT+05:30 2020,HR,28672000,19,,,
Fri Mar 20 00:00:00 GMT+05:30 2020,JK,13203000,4,,,
Fri Mar 20 00:00:00 GMT+05:30 2020,KA,65798000,15,1,1,
Fri Mar 20 00:00:00 GMT+05:30 2020,KL,35125000,40,3,,
Fri Mar 20 00:00:00 GMT+05:30 2020,LA,293000,10,,,
Fri Mar 20 00:00:00 GMT+05:30 2020,MH,122153000,52,,,
Fri Mar 20 00:00:00 GMT+05:30 2020,MP,82232000,4,,,
Fri Mar 20 00:00:00 GMT+05:30 2020,OR,43671000,2,,,
Fri Mar 20 00:00:00 GMT+05:30 2020,PB,29859000,3,,,3675493
Fri Mar 20 00:00:00 GMT+05:30 2020,PY,1504000,1,,,
